"","Name","Role","Tier","Score","Trend","Win %","Role %","Pick %","Ban %","KDA","Patch"
"658","Skarner","JUNGLE","Fair",40.78,-2.67,51.01,81.76,0.72,0.13,2.64,11.24
"659","Skarner","TOP","Bad",30.72,-5.52,48.9,15.93,0.1,0.13,2.2,11.24
"660","Sona","SUPPORT","Strong",59.98,4.78,54.48,98.26,4.62,0.77,2.98,11.24
"661","Soraka","SUPPORT","Strong",63.63,0.39,52.68,95.8,7.08,3.38,2.78,11.24
"662","Swain","SUPPORT","Fair",41.86,-1.11,49.44,64.24,2.86,1.83,2.24,11.24
"663","Swain","MID","Fair",39.74,-2.06,50.33,11.83,0.42,1.83,2.45,11.24
"664","Swain","ADC","Weak",38.97,-2.06,51.83,17.95,0.49,1.83,2.75,11.24
"665","Sylas","MID","Strong",58.2,-1.44,50,72.68,6.91,4.33,2.13,11.24
"666","Sylas","TOP","Weak",38.84,-2.23,48.46,22,2.13,4.33,1.85,11.24
"667","Syndra","MID","Good",46.81,-1.33,48.65,84.42,4.2,1.08,2.2,11.24
"668","Tahm Kench","TOP","Strong",70.72,10.93,52.31,88.47,4.75,11.4,2.62,11.24
"669","Taliyah","JUNGLE","Fair",42.31,2.87,50.84,67.93,1.36,0.22,2.63,11.24
"670","Taliyah","SUPPORT","Fair",40.25,-1.87,52.92,19.13,0.33,0.2,2.13,11.24
"671","Talon","JUNGLE","God",72.76,4.66,50.68,79.76,8.63,22.72,2.43,11.24
"672","Talon","MID","Fair",42.11,0.89,49.27,19.27,1.89,22.72,2.14,11.24
"673","Taric","SUPPORT","Weak",37.23,-2.59,48.7,82.54,1.33,0.18,2.59,11.24
"674","Teemo","TOP","Strong",67.99,-7.51,51.16,80.76,5.62,11.91,1.73,11.24
"675","Thresh","SUPPORT","Strong",72.31,-7.73,48.19,99.2,12.55,6.66,2.49,11.24
"676","Tristana","ADC","Fair",41.11,-2.37,49.37,87.84,5.09,2.49,2.19,11.24
"677","Trundle","JUNGLE","Good",53.69,1.3,52.72,59.73,3.37,1.97,2.8,11.24
"678","Trundle","TOP","Fair",40.66,-1.88,50.76,31.24,1.69,1.97,1.74,11.24
"679","Tryndamere","TOP","Strong",65.24,-2.44,50.67,81.2,5.37,11.13,1.89,11.24
"680","Tryndamere","MID","Fair",44.94,-1.68,52.99,13.28,0.77,11.13,2.21,11.24
"681","Twisted Fate","MID","Good",50.29,-1.07,49.53,92.7,4.64,1.48,2.25,11.24
"682","Twitch","ADC","Good",49.46,0.61,50.53,77.84,6.95,3.41,2.37,11.24
"683","Udyr","JUNGLE","Fair",42.22,1.6,49.96,92.46,2.05,0.7,2.58,11.24
"684","Urgot","TOP","Good",50.82,-5.06,50.46,93.7,3.43,1.97,1.89,11.24
"685","Varus","ADC","Bad",32.57,-0.2,47.96,90.71,2.71,0.22,2.26,11.24
"686","Vayne","ADC","God",82.64,11.84,53.18,83.4,14.78,23.36,2.19,11.24
"687","Vayne","TOP","Good",52.35,0.63,52.54,14.42,2.49,23.36,1.61,11.24
"688","Veigar","MID","Good",51.77,0.7,51.73,66.19,3.61,1.32,2.34,11.24
"689","Veigar","ADC","Weak",36.62,-8.46,51.76,15.65,0.75,1.41,2.35,11.24
"690","Veigar","SUPPORT","Bad",31,-3.15,47.51,15.33,0.85,1.41,2.01,11.24
"691","Vel'Koz","MID","Fair",46.08,-0.31,52.31,31.24,0.96,0.6,2.6,11.24
"692","Vel'Koz","SUPPORT","Fair",41.01,-1.59,50.57,62.6,2.03,0.6,2.16,11.24
"693","Vex","MID","Strong",66.14,-0.33,50.86,75.77,7.13,17.95,2.45,11.24
"694","Vex","SUPPORT","Weak",36.99,2.2,48.4,20.78,1.84,17.95,2.05,11.24
"695","Vi","JUNGLE","Strong",62.05,-16.82,51.44,91.03,7.46,4.75,2.41,11.24
"696","Viego","JUNGLE","God",81.89,3.1,50.84,93.75,12.86,12.81,2.44,11.24
"697","Viktor","MID","God",81.6,1.32,52.9,76.5,10.2,17.92,2.35,11.24
"698","Viktor","TOP","Good",49.1,0.77,50.56,19.33,2.53,17.92,1.89,11.24
"699","Vladimir","MID","Good",50.37,-4.68,49.9,72.36,4.09,5.87,2.35,11.24
"700","Vladimir","TOP","Weak",38.92,0.39,50.03,24.97,1.28,5.87,2.01,11.24
"701","Volibear","TOP","Fair",40.8,2.97,48.66,53.53,2.5,1.79,1.81,11.24
"702","Volibear","JUNGLE","Weak",37.8,1.16,48.28,43.76,2.13,1.69,2.4,11.24
"703","Warwick","JUNGLE","Good",56.35,-1.8,50.61,78.37,6.33,5.47,2.28,11.24
"704","Warwick","TOP","Weak",38.73,1.56,50.21,19.37,1.29,5.87,1.92,11.24
"705","Wukong","TOP","Fair",44.99,2.06,50.61,77.61,2.05,0.72,2.12,11.24
"706","Wukong","JUNGLE","Weak",37.78,2.32,50.4,14.9,0.41,0.77,2.51,11.24
"707","Xayah","ADC","Weak",38.93,-5.65,49.41,98.17,4.04,0.87,2.27,11.24
"708","Xerath","SUPPORT","Good",55.17,-0.48,51.18,62.93,5.53,5.86,2.49,11.24
"709","Xerath","MID","Good",48.09,-2.25,49.34,29.22,2.63,5.86,3,11.24
"710","Xin Zhao","JUNGLE","Good",55.9,-2.95,51.32,94.86,5.68,4.1,2.41,11.24
"711","Yasuo","MID","God",86.2,-3.78,49.45,63.7,12.5,26.55,1.73,11.24
"712","Yasuo","TOP","Good",54.85,1.82,50.13,20.24,3.57,26.55,1.5,11.24
"713","Yasuo","ADC","Weak",38.32,-1.21,50.86,15.26,2.64,26.55,1.9,11.24
"714","Yone","TOP","God",92.04,5.02,50.22,43.5,7.9,30.89,1.64,11.24
"715","Yone","MID","God",81.64,1.02,50.15,54.25,10.53,30.89,1.89,11.24
"716","Yorick","TOP","Good",46.5,0.58,51.92,95.51,2.35,2.05,1.65,11.24
"717","Yuumi","SUPPORT","God",82.39,-0.4,48.99,99.19,9.74,29.71,4.04,11.24
"718","Zac","JUNGLE","Strong",57.83,4.31,52.09,82.97,3.94,1.88,3.47,11.24
"719","Zed","MID","God",90.77,4.75,49.86,63.58,9.98,42.1,2.31,11.24
"720","Zed","JUNGLE","Good",54.24,4.26,47.41,32.97,4.82,42.1,2.43,11.24
"721","Ziggs","ADC","Fair",43.79,-0.84,52.81,72.16,2.61,0.76,2.42,11.24
"722","Ziggs","MID","Weak",37.04,-1.15,48.69,21.63,0.8,0.77,2.33,11.24
"723","Zilean","MID","Good",50.85,0.47,53.71,10.91,0.45,1.52,3.26,11.24
"724","Zilean","SUPPORT","Good",47.76,-3.38,49.89,85.17,3.49,1.82,2.95,11.24
"725","Zoe","MID","Fair",45.14,-2.43,48.33,90.16,3.41,1.4,2.45,11.24
"726","Aatrox","TOP","Good",58.25,6.52,49.97,94.62,4.43,2.03,1.97,12.1
"727","Ahri","MID","Good",53.21,-0.24,49.93,93.47,4.62,1.04,2.56,12.1
"728","Akali","MID","Strong",65.3,6.51,48.59,65.65,8.16,12.88,2.34,12.1
"729","Akali","TOP","Good",57.87,3.34,48.57,34.06,4.24,12.88,2.04,12.1
"730","Akshan","MID","Strong",59.85,0.65,51.46,58.01,4.83,21.91,2.23,12.1
"731","Akshan","TOP","Good",55.89,-0.46,51.58,33.45,2.71,21.91,1.97,12.1
"732","Alistar","SUPPORT","Fair",46.08,-2.74,49.92,98.55,3.65,0.84,2.51,12.1
"733","Amumu","JUNGLE","Fair",45.69,1.72,50.27,83.11,3.13,1.51,2.62,12.1
"734","Amumu","SUPPORT","Weak",35.88,2.55,50.09,14.95,0.44,1.64,2.05,12.1
"735","Anivia","MID","Good",53.38,-1.26,51.97,82.16,3.32,3.03,2.66,12.1
"736","Anivia","SUPPORT","Bad",31.74,-1.46,47.66,12.51,0.44,3.03,2.18,12.1
"737","Annie","MID","Good",48.81,6.23,52.45,85,2.17,0.71,2.39,12.1
"738","Aphelios","ADC","Weak",35.96,-1.67,47.36,98.34,5.79,1.46,2.03,12.1
"739","Ashe","ADC","Fair",43.08,-9.95,49.66,93.4,6.03,1.11,2.32,12.1
"740","Aurelion Sol","MID","Fair",42.15,-2.74,50.81,91.23,0.89,0.25,2.55,12.1
"741","Azir","MID","Bad",32.69,2.09,46.67,90.68,1.12,0.21,2.1,12.1
"742","Bard","SUPPORT","Good",49.81,2.27,50.23,98.67,4.05,1,2.97,12.1
"743","Blitzcrank","SUPPORT","Strong",67.8,-0.81,51.87,99.49,8.61,18.23,2.44,12.1
"744","Brand","SUPPORT","Fair",45.21,-4.17,49.18,79.04,4.68,5.87,1.77,12.1
"745","Brand","MID","Fair",41.21,1.44,51.68,12.83,0.82,6.43,2.04,12.1
"746","Braum","SUPPORT","Good",46.74,2.77,50.73,99.4,2.87,0.39,2.79,12.1
"747","Caitlyn","ADC","God",88.48,-0.16,50.09,98.7,21.3,18.96,2.31,12.1
"748","Camille","TOP","God",84.61,9.6,50.2,96.8,7.17,7.54,1.99,12.1
"749","Cassiopeia","MID","Fair",44.08,-2,50.3,71.9,2.43,1.36,2.09,12.1
"750","Cassiopeia","TOP","Bad",26.2,-7.91,49.47,17.98,0.68,1.36,1.83,12.1
"751","Cho'Gath","TOP","Good",52.76,2.64,52.82,72.56,2.59,0.95,2.2,12.1
"752","Cho'Gath","MID","Weak",37.75,-4.65,49.57,17.42,0.55,0.95,2.37,12.1
"753","Corki","MID","Good",58.2,0.29,49.38,92.76,6.79,3.91,2.17,12.1
"754","Darius","TOP","God",83.96,16.49,50.37,95.85,6.58,15.17,1.87,12.1
"755","Diana","JUNGLE","God",82.96,44.71,51.46,83.98,12.19,12.81,2.49,12.1
"756","Diana","MID","Good",49.05,4.03,52.62,15.14,2.17,12.81,2.2,12.1
"757","Dr. Mundo","TOP","Strong",62.73,-2.08,51.76,91.81,4.06,2.97,2.26,12.1
"758","Draven","ADC","Fair",46.38,-4.53,50.52,95.9,6.3,12.39,2.16,12.1
"759","Ekko","JUNGLE","Good",55.93,-1.56,49.91,64.39,6.16,4.09,2.74,12.1
"760","Ekko","MID","Good",46.78,0.91,49.67,33.37,3.26,4.09,2.24,12.1
"761","Elise","JUNGLE","Fair",40.59,-3.1,49.48,94.98,2.22,1.66,2.56,12.1
"762","Evelynn","JUNGLE","Good",48.04,-1.54,49.64,98.86,3.46,8.85,2.94,12.1
"763","Ezreal","ADC","God",75.98,1.83,49.28,97.47,20.07,5.2,2.39,12.1
"764","Fiddlesticks","JUNGLE","Fair",46.01,-1.29,50.54,92.05,2.91,2.86,2.68,12.1
"765","Fiora","TOP","Strong",75.08,4.32,50.05,97.65,6.08,10.76,1.76,12.1
"766","Fizz","MID","Good",52.25,1.44,50.83,96.26,3.83,4.53,2.46,12.1
"767","Galio","MID","Good",46.86,0.84,50.38,63.28,2.28,0.54,2.71,12.1
"768","Galio","SUPPORT","Weak",36.89,-1.3,48.87,33.91,1.22,0.54,2.35,12.1
"769","Gangplank","TOP","Strong",65.59,14.31,47.66,87.34,5.92,4.44,1.99,12.1
"770","Gangplank","MID","Weak",36.57,3.4,48.67,12.95,0.9,4.41,2.23,12.1
"771","Garen","TOP","Strong",73.99,15.67,51.55,87.46,5.74,2.13,2.1,12.1
"772","Gnar","TOP","Good",47.1,4.58,49.86,97.87,3.05,0.6,2.01,12.1
"773","Gragas","TOP","Weak",37.47,-2.35,48.75,39.67,1.96,0.32,2.24,12.1
"774","Gragas","JUNGLE","Weak",36.1,-7.55,48,40.6,1.64,0.32,2.7,12.1
"775","Gragas","SUPPORT","Bad",32.15,-2.55,47.64,11.54,0.49,0.32,2.25,12.1
"776","Graves","JUNGLE","Strong",59.84,-9.95,49.28,67.07,7.51,9.44,2.58,12.1
"777","Graves","TOP","Fair",42.78,-7.19,49.1,25.53,2.75,9.44,1.72,12.1
"778","Gwen","TOP","Good",54.66,13.03,49.82,82.83,4.23,2.43,1.73,12.1
"779","Gwen","JUNGLE","Weak",38.68,5.74,51.35,13.4,0.7,2.43,2.36,12.1
"780","Hecarim","JUNGLE","Strong",71.27,12.91,51.18,99.23,8.94,8.04,3.02,12.1
"781","Heimerdinger","MID","Weak",35.89,-1.34,49.28,35.85,0.8,0.81,1.96,12.1
"782","Heimerdinger","ADC","Weak",34.01,-1.93,51.76,15.56,0.29,0.81,2.23,12.1
"783","Heimerdinger","SUPPORT","Weak",33.85,-1.74,49.85,10.09,0.2,0.92,1.83,12.1
"784","Heimerdinger","TOP","Bad",24.16,-8.38,48.87,38.86,0.8,0.81,1.65,12.1
"785","Illaoi","TOP","Weak",34.11,-3.45,49.16,92.36,2.07,2.53,1.49,12.1
"786","Irelia","TOP","God",81.35,-5.02,49.1,60,6.24,23.51,1.58,12.1
"787","Irelia","MID","Good",48.07,-1.08,48.24,39.17,4.1,23.51,1.75,12.1
"788","Ivern","JUNGLE","Weak",38.83,1.46,48.09,85.02,1.21,0.34,3.41,12.1
"789","Janna","SUPPORT","Good",51.92,-3.82,50.56,95.2,4.6,0.57,3,12.1
"790","Jarvan IV","JUNGLE","Good",54.92,4.21,51.04,93.41,4.22,0.54,3.37,12.1
"791","Jax","TOP","God",82.16,3.63,50.68,85.79,6.84,10.98,1.63,12.1
"792","Jax","JUNGLE","Weak",34.7,-5.49,49.4,13.26,1.11,10.39,2.13,12.1
"793","Jayce","TOP","Strong",73.56,-5.02,49.44,74.77,6.54,4.13,1.78,12.1
"794","Jayce","MID","Fair",39.29,-2.3,48.62,24.13,1.97,4.13,2.05,12.1
"795","Jhin","ADC","God",94.23,3.23,51.03,99.02,24.55,5.81,3.01,12.1
"796","Jinx","ADC","God",86.76,-1.22,51.32,99.51,22.27,6.98,2.43,12.1
"797","Kai'Sa","ADC","God",75.52,10.5,49.48,97.77,19.45,5.95,2.42,12.1
"798","Kalista","ADC","Bad",31.51,-0.06,49.03,91.41,1.53,0.27,2.3,12.1
"799","Karma","SUPPORT","Strong",63.43,6.96,48.91,92.05,10.22,2.96,2.73,12.1
"800","Karthus","ADC","Fair",42.26,-1.65,54.98,21.05,0.95,3.3,2.23,12.1
"801","Karthus","MID","Fair",42.13,3.77,52.58,11.76,0.41,3.3,2.19,12.1
"802","Karthus","JUNGLE","Fair",39.58,0.6,49.39,57.8,2.09,3.3,2.45,12.1
"803","Kassadin","MID","Good",58.16,-7.74,51.42,97.04,4.54,14.43,2.49,12.1
"804","Katarina","MID","Strong",61.99,-0.88,49.59,94.72,7.12,9.89,2.29,12.1
"805","Kayle","TOP","Good",48.25,-5.26,50.71,72.51,3.11,1.19,1.8,12.1
"806","Kayle","MID","Fair",40.73,-8.21,50.63,25.67,0.97,1.19,2.28,12.1
"807","Kayn","JUNGLE","Strong",69.12,1.38,49.95,97.8,9.7,12.18,2.41,12.1
"808","Kennen","MID","Fair",40.4,-1.04,51.35,15,0.34,0.67,2.37,12.1
"809","Kennen","TOP","Weak",35.49,0.47,48.62,83.5,2,0.7,1.98,12.1
"810","Kha'Zix","JUNGLE","Strong",60.25,-2.33,50.17,98.88,7.47,7.01,2.47,12.1
"811","Kindred","JUNGLE","Fair",46.69,-1.77,50.47,91.82,3.87,2.49,2.26,12.1
"812","Kled","MID","Good",48.84,0,55.14,10.23,0.19,0.83,2.7,12.1
"813","Kled","TOP","Fair",40.27,-4.86,50.36,88.47,1.69,0.78,2.32,12.1
"814","Kog'Maw","ADC","Fair",39.8,-2.8,52.79,89.17,1.98,0.44,2.21,12.1
"815","LeBlanc","MID","Good",59.14,-1.18,48.85,94.88,5.79,11.95,2.82,12.1
"816","Lee Sin","JUNGLE","God",91.89,0.28,48.45,96.61,15.29,16.26,2.82,12.1
"817","Leona","SUPPORT","Strong",65.44,-0.99,49.61,99.42,9.88,13.97,2.34,12.1
"818","Lillia","JUNGLE","Fair",42.51,-1.69,49.35,85.39,2.74,0.95,2.66,12.1
"819","Lillia","TOP","Bad",24.34,-9.25,49.2,11.49,0.4,1.01,1.96,12.1
"820","Lissandra","MID","Good",47.29,1.22,50.65,91.16,2.72,0.66,2.41,12.1
"821","Lucian","ADC","Good",48.48,-7.7,49.26,86.34,8.84,3.12,2.25,12.1
"822","Lulu","SUPPORT","God",93.56,0.75,50.84,97.72,14.3,25.68,3.12,12.1
"823","Lux","SUPPORT","God",82.29,-6.67,50.26,68.48,14.64,12.26,2.53,12.1
"824","Lux","MID","Strong",66.92,-0.9,51.08,29.3,6.48,12.26,2.97,12.1
"825","Malphite","TOP","Strong",67.63,5.41,51.19,75.04,4.68,4.01,2.41,12.1
"826","Malphite","MID","Fair",40.23,-3.72,50.49,11.99,0.71,4.01,2.4,12.1
"827","Malphite","SUPPORT","Bad",29.17,-1.81,46.13,11.03,0.78,4.12,2.05,12.1
"828","Malzahar","MID","Good",49.57,5.18,50.92,91.35,3.43,3.03,2.22,12.1
"829","Maokai","SUPPORT","Fair",39.51,-0.65,50.16,80.13,1.46,0.16,2.23,12.1
"830","Maokai","TOP","Bad",24.65,-6.31,49.13,17.24,0.32,0.17,2.1,12.1
"831","Master Yi","JUNGLE","Strong",64.59,-3.49,49.74,93.04,7.64,18.96,2.02,12.1
"832","Miss Fortune","ADC","Good",50.67,-1.8,50.1,95.35,8.87,2.12,2.3,12.1
"833","Mordekaiser","TOP","Strong",65.95,14.48,49.82,87.43,5.31,5.99,1.79,12.1
"834","Morgana","SUPPORT","Strong",71.03,-1.92,49.76,92.49,9.13,26.95,2.51,12.1
"835","Nami","SUPPORT","Strong",73.29,-2.3,51.52,99.76,11.3,2.6,3.24,12.1
"836","Nasus","TOP","Strong",64.96,7.18,51.83,85.1,4.49,4.36,1.98,12.1
"837","Nautilus","SUPPORT","Strong",60.25,2.25,49.81,98.25,8.69,7.77,2.32,12.1
"838","Neeko","MID","Weak",37.75,0.46,48.66,62.3,1.3,0.28,2.22,12.1
"839","Neeko","SUPPORT","Bad",31.53,2.13,47.99,23.38,0.5,0.3,1.95,12.1
"840","Nidalee","JUNGLE","Good",49.1,-0.37,48.98,92.41,4.41,2.64,2.95,12.1
"841","Nocturne","JUNGLE","Fair",39.71,-6.54,48.05,86.82,3.12,3.24,2.39,12.1
"842","Nunu","JUNGLE","Good",55.47,0.61,51.79,89.52,4.35,2.38,3.04,12.1
"843","Olaf","JUNGLE","Weak",36.61,5.55,49.07,84.79,1.48,0.85,2.45,12.1
"844","Olaf","TOP","Bad",11.03,-6.16,45.46,15.64,0.27,0.92,1.63,12.1
"845","Orianna","MID","Good",47.05,1.97,49.56,95.43,2.89,0.18,2.66,12.1
"846","Ornn","TOP","Good",59.57,4.58,50.83,94.19,4.04,0.43,2.3,12.1
"847","Pantheon","MID","Fair",41.54,-2.49,50.8,27.31,1.16,0.89,2.25,12.1
"848","Pantheon","SUPPORT","Bad",32.78,-2.48,47,39.76,1.78,0.89,1.89,12.1
"849","Pantheon","TOP","Bad",30.79,-10.85,49.68,26.73,0.93,0.89,2.1,12.1
"850","Poppy","JUNGLE","Fair",41.6,-2.14,49.59,47.97,2.3,2.3,2.65,12.1
"851","Poppy","TOP","Fair",39.88,-5.73,49.78,43.37,1.98,2.3,2.14,12.1
"852","Pyke","SUPPORT","Strong",59.89,-0.91,49.35,88.3,8.57,12.77,2.17,12.1
"853","Qiyana","MID","Good",56.52,2.17,51.04,58.68,4.73,13.69,2.14,12.1
"854","Qiyana","JUNGLE","Fair",42.89,-0.24,48.92,37.84,2.94,13.69,2.42,12.1
"855","Quinn","TOP","Weak",36.42,-5.78,51.71,83.36,1.19,0.51,1.89,12.1
"856","Rakan","SUPPORT","Good",54.12,-1.22,50.52,98.47,5.55,0.41,2.94,12.1
"857","Rammus","JUNGLE","Good",48.15,0.36,51.71,93.45,2.41,3.14,2.9,12.1
"858","Rek'Sai","JUNGLE","Good",49.57,-0.79,51.4,96.79,3.69,2.52,2.51,12.1
"859","Rell","SUPPORT","Fair",42.96,0.27,50.61,99.47,2.13,0.49,2.42,12.1
"860","Renekton","TOP","Good",50.6,6.84,48.17,86.48,4.1,2.05,1.91,12.1
"861","Renekton","MID","Fair",41.32,3.85,51.78,12.93,0.63,2.05,2.19,12.1
"862","Rengar","JUNGLE","Fair",39.34,3.97,48.44,77.99,2.97,2.68,2.28,12.1
"863","Rengar","TOP","Bad",22.41,-8.95,47.43,20.91,0.91,2.31,1.77,12.1
"864","Riven","TOP","Strong",65.68,6.18,51.3,91.86,4.88,2.3,1.99,12.1
"865","Rumble","MID","Fair",45.65,1.36,52.28,37.76,0.95,0.26,2.64,12.1
"866","Rumble","JUNGLE","Weak",36.12,1.29,49.65,13.54,0.31,0.26,2.82,12.1
"867","Rumble","TOP","Bad",25.32,-2.02,47.57,46.6,1.01,0.26,2.02,12.1
"868","Ryze","MID","Weak",35.12,-1.72,45.97,82.39,2.15,0.2,2.15,12.1
"869","Ryze","TOP","Bad",14.3,-7.36,45.91,16.26,0.43,0.2,1.74,12.1
"870","Samira","ADC","Fair",44.4,-3.44,48.52,98.1,7.22,11.15,2.19,12.1
"871","Sejuani","JUNGLE","Fair",40.92,-8.34,48.26,82.05,2.29,0.31,3.09,12.1
"872","Sejuani","TOP","Bad",30.67,-2.66,50.5,13.18,0.32,0.34,2.43,12.1
"873","Senna","SUPPORT","Fair",46.43,-2.7,48.2,85.15,4.94,1.52,2.54,12.1
"874","Senna","ADC","Weak",36.3,-2.53,50.62,13.18,0.7,1.52,2.82,12.1
"875","Seraphine","ADC","Fair",45.21,5.14,54.15,16.88,0.71,1.03,3.07,12.1
"876","Seraphine","MID","Fair",42.18,-1.79,50.09,15.62,0.76,1.03,2.9,12.1
"877","Seraphine","SUPPORT","Fair",39.72,-1.97,46.66,67.22,3.69,1.03,2.47,12.1
"878","Sett","TOP","God",90.23,15.56,49.6,83.89,8.23,7.37,1.76,12.1
"879","Shaco","JUNGLE","Strong",62.92,3.87,51.66,82.67,5.98,17.16,2.75,12.1
"880","Shaco","SUPPORT","Fair",43.5,3.21,52.04,14.17,1.03,17.16,2.44,12.1
"881","Shen","TOP","God",88.45,20.45,52.74,87.85,6.34,2.06,2.98,12.1
"882","Shyvana","JUNGLE","Weak",35.87,-5.1,48.72,82.59,1.49,0.25,2.45,12.1
"883","Shyvana","TOP","Bad",23.83,-11.61,49.83,12.59,0.21,0.26,1.88,12.1
"884","Singed","TOP","Fair",39.17,-0.57,50.95,77.1,1.65,0.42,2.04,12.1
"885","Sion","TOP","Good",52.81,4.16,51.27,84.01,3.7,0.7,1.63,12.1
"886","Sivir","ADC","Fair",39.74,1.71,51.04,97.68,2.69,0.46,2.53,12.1
"887","Skarner","JUNGLE","Weak",33.16,-7.62,47.83,76,0.74,0.16,2.76,12.1
"888","Skarner","TOP","Bad",23.89,-6.83,48.9,22.21,0.18,0.16,2.22,12.1
"889","Sona","SUPPORT","Good",57.27,-2.71,52.85,97.98,4.94,1,2.98,12.1
"890","Soraka","SUPPORT","Strong",62.15,-1.48,52.28,96.57,7.25,4.08,2.79,12.1
"891","Swain","MID","Fair",44.02,4.28,52.3,11.3,0.4,1.76,2.67,12.1
"892","Swain","ADC","Fair",41.33,2.36,53.12,21.43,0.55,1.76,2.85,12.1
"893","Swain","SUPPORT","Fair",40.06,-1.79,48.89,62.01,2.54,1.61,2.24,12.1
"894","Sylas","MID","Good",58.98,0.78,49.56,75.03,6.95,4.24,2.14,12.1
"895","Sylas","TOP","Weak",33.03,-5.81,47.86,21.17,1.98,4.24,1.86,12.1
"896","Syndra","MID","Good",49.27,2.47,49.35,89.61,4.24,1.16,2.26,12.1
"897","Tahm Kench","TOP","God",91.8,21.07,51.28,92.57,6.48,16.24,2.6,12.1
"898","Taliyah","SUPPORT","Fair",42.4,2.15,53.6,15.08,0.26,0.18,2.1,12.1
"899","Taliyah","MID","Weak",38.86,0,50.43,16.58,0.25,0.19,2.47,12.1
"900","Taliyah","JUNGLE","Weak",36.79,-5.52,49.22,64.73,1.18,0.19,2.61,12.1
"901","Talon","JUNGLE","Strong",61.2,-11.56,49.65,73.79,6.45,21.59,2.41,12.1
"902","Talon","MID","Fair",43.48,1.37,49.27,25.14,2.14,21.59,2.17,12.1
"903","Taric","SUPPORT","Fair",42.25,5.02,50.53,89.39,1.29,0.16,2.82,12.1
"904","Teemo","TOP","Strong",62.74,-5.25,49.11,84.36,4.91,9.6,1.71,12.1
"905","Thresh","SUPPORT","Strong",69.49,-2.82,48.88,99.4,12.27,6.42,2.57,12.1
"906","Tristana","ADC","Fair",40.29,-0.82,49.2,87.49,5.35,2.39,2.24,12.1
"907","Tristana","MID","Weak",35.1,0,49.32,10.2,0.48,2.39,2,12.1
"908","Trundle","JUNGLE","Good",55.13,1.44,52.85,62.99,3.86,2.6,2.84,12.1
"909","Trundle","TOP","Fair",44.04,3.38,52.78,31.17,1.84,2.6,1.83,12.1
"910","Tryndamere","TOP","God",76.6,11.36,51,82.71,5.76,12.72,1.89,12.1
"911","Tryndamere","MID","Weak",38.31,-6.63,49.93,12.91,0.82,12.72,2.09,12.1
"912","Twisted Fate","MID","Good",49.57,-0.72,48.96,94.59,4.41,1.32,2.34,12.1
"913","Twitch","ADC","Good",50.77,1.31,52.14,81.44,6.69,4.21,2.42,12.1
"914","Udyr","JUNGLE","Weak",36.98,-5.24,48.61,95.02,1.73,0.61,2.55,12.1
"915","Urgot","TOP","Strong",63.91,13.1,53.01,96.14,4.1,2.01,2,12.1
"916","Varus","ADC","Bad",31.43,-1.14,48.09,92.08,2.36,0.19,2.3,12.1
"917","Vayne","ADC","Strong",72.55,-10.08,51.99,85.85,13.6,22.28,2.19,12.1
"918","Vayne","TOP","Fair",41.86,-10.49,51.27,12.63,1.86,22.28,1.53,12.1
"919","Veigar","MID","Good",46.97,-4.8,48.94,71.45,3.79,1.26,2.26,12.1
"920","Veigar","ADC","Weak",36.29,-0.33,51.96,14.47,0.64,1.36,2.4,12.1
"921","Veigar","SUPPORT","Bad",31.56,0.56,47.5,12.84,0.73,1.36,2.02,12.1
"922","Vel'Koz","MID","Fair",45.01,-1.07,51.46,41.65,1.19,0.52,2.67,12.1
"923","Vel'Koz","SUPPORT","Fair",39.16,-1.85,49.44,56.29,1.96,0.55,2.17,12.1
"924","Vex","MID","God",76.85,10.71,50.76,84.52,9.15,19.25,2.48,12.1
"925","Vex","SUPPORT","Bad",30.31,-6.68,45.55,13.19,1.44,19.25,1.99,12.1
"926","Vi","JUNGLE","Good",58.46,-3.59,52.2,94.44,5.89,3.12,2.45,12.1
"927","Viego","JUNGLE","God",82.48,0.59,49.74,94.84,13.03,14.22,2.46,12.1
"928","Viktor","MID","God",81.46,-0.14,51.1,84.98,10.55,16,2.35,12.1
"929","Viktor","TOP","Weak",37.59,-11.51,49.8,13.16,1.65,16,1.88,12.1
"930","Vladimir","MID","Good",55.71,5.34,51.58,74.42,4.37,5.72,2.45,12.1
"931","Vladimir","TOP","Weak",32.87,-6.05,49.12,23.57,1.37,5.72,2.03,12.1
"932","Volibear","JUNGLE","Fair",39.63,1.84,49.23,41.7,2.19,1.48,2.5,12.1
"933","Volibear","TOP","Bad",32.21,-8.58,46.11,56.03,2.58,1.48,1.79,12.1
"934","Warwick","JUNGLE","Good",52.78,-3.57,49.76,73.58,5.84,5.6,2.25,12.1
"935","Warwick","TOP","Bad",31.35,-7.37,49.36,24.85,1.2,5.6,1.94,12.1
"936","Wukong","TOP","Fair",43.24,-1.75,50.56,78.66,2.22,0.61,2.12,12.1
"937","Wukong","JUNGLE","Weak",32.92,-4.87,48.8,14.19,0.38,0.62,2.54,12.1
"938","Xayah","ADC","Fair",40.54,1.61,50.67,98.76,3.87,0.53,2.37,12.1
"939","Xerath","MID","Good",53.25,5.16,51.01,38.11,2.97,5.53,3.17,12.1
"940","Xerath","SUPPORT","Good",49.68,-5.49,49.84,56.29,4.76,5.53,2.54,12.1
"941","Xin Zhao","JUNGLE","Good",57.04,1.14,50.23,96.2,6.76,4.18,2.44,12.1
