"","Name","Role","Tier","Score","Trend","Win %","Role %","Pick %","Ban %","KDA","Patch"
"3245","Renata Glasc","SUPPORT","Strong",65.3,-5.69,52.64,99,6.7,7.36,2.83,12.9
"3246","Renekton","TOP","Good",53.41,13.46,49.22,84.14,4.18,2.45,1.85,12.9
"3247","Renekton","MID","Fair",42.19,6.18,51.47,14.06,0.64,2.45,2.09,12.9
"3248","Rengar","JUNGLE","Strong",60,-8.89,51.45,74.21,5.28,19.3,2.3,12.9
"3249","Rengar","TOP","Fair",41.36,2.34,49.84,21.77,1.62,19.3,1.82,12.9
"3250","Riven","TOP","Strong",68.41,-4.61,50.96,89.76,5.75,4.92,1.86,12.9
"3251","Rumble","MID","Good",47.62,-0.62,52.9,27.49,0.77,0.49,2.55,12.9
"3252","Rumble","TOP","Weak",34.76,0.68,47.94,56.31,1.44,0.49,2.03,12.9
"3253","Rumble","JUNGLE","Bad",20.57,3.54,45.6,10.43,0.25,0.41,2.66,12.9
"3254","Ryze","MID","Bad",26.98,-2.99,42.48,80.2,1.34,0.13,1.89,12.9
"3255","Ryze","TOP","Bad",14.47,4.29,43.82,16.52,0.28,0.14,1.59,12.9
"3256","Samira","ADC","God",73.6,0.15,51.89,96.81,12.43,24.37,2.25,12.9
"3257","Sejuani","JUNGLE","Good",47.77,-1.47,52.12,71.27,2.09,0.31,3.21,12.9
"3258","Sejuani","TOP","Bad",30.54,-3.87,48,21.07,0.55,0.31,2.16,12.9
"3259","Senna","SUPPORT","God",89.39,-4,53.05,92.25,13.7,9.54,2.67,12.9
"3260","Seraphine","SUPPORT","Fair",43.99,2.08,49.03,69.37,3.12,0.74,2.41,12.9
"3261","Seraphine","ADC","Fair",42.7,8.06,53.93,14.86,0.58,0.77,2.84,12.9
"3262","Seraphine","MID","Fair",41.17,-1.63,49.72,13.7,0.57,0.77,2.55,12.9
"3263","Sett","TOP","Strong",70.08,-5.32,50.14,76.86,6.44,5.81,1.69,12.9
"3264","Sett","SUPPORT","Weak",35.69,6.78,49.17,12.77,0.83,5.81,2.02,12.9
"3265","Shaco","JUNGLE","Good",57.87,-7.56,49.98,82.2,5.19,16.65,2.72,12.9
"3266","Shaco","SUPPORT","Weak",36.48,-0.49,48.26,14.88,1.02,18.71,2.33,12.9
