"Name","Role","Tier","Score","Trend","Win %","Role %","Pick %","Ban %","KDA","Patch"
"Renekton","TOP","Strong","60.02","5.72","48.99","83.48","5.52","7.35","1.90","10.25"
"Renekton","MID","Fair","41.31","1.48","50.54","15.46","0.98","7.1","2.15","10.25"
"Rengar","TOP","Weak","40.75","0.73","49.54","24.42","1.35","3.08","1.98","10.25"
"Rengar","JUNGLE","Weak","40.64","1.13","47.92","69.65","3.63","3.08","2.27","10.25"
"Riven","TOP","Good","54.36","0.7","48.17","81.5","5.03","1.67","1.86","10.25"
"Riven","MID","Good","49.54","6.1","55.24","13.83","0.8","1.67","2.20","10.25"
"Rumble","MID","Fair","44","-1.87","50.89","41.04","0.98","0.33","2.54","10.25"
"Rumble","TOP","Weak","36.93","-2.39","47.71","50.61","1.17","0.33","2.09","10.25"
"Ryze","MID","Weak","37.66","-8.26","47.12","67.84","2.13","0.25","2.01","10.25"
"Ryze","TOP","Bad","32.6","-0.39","47.07","32.68","0.91","0.24","1.77","10.25"
"Samira","ADC","Strong","61.85","-18.17","47.53","94.3","9.78","49.12","2.29","10.25"
"Sejuani","JUNGLE","Fair","44.66","-7.91","49.74","94.78","2.03","0.26","3.12","10.25"
"Senna","SUPPORT","Fair","42.98","-6.6","46.37","63.47","4.27","2","2.49","10.25"
"Senna","ADC","Fair","42.09","-5.39","48.81","31.7","2","2","2.88","10.25"
"Seraphine","SUPPORT","Strong","63.47","0.85","51.02","75.58","6.83","7.72","2.60","10.25"
"Seraphine","MID","Good","52.55","5.24","53.23","18.17","1.72","7.72","2.77","10.25"
"Sett","TOP","Strong","62.46","3.99","49.58","51.69","6.06","4.85","1.81","10.25"
"Sett","MID","Fair","45.82","2.47","52.24","11.63","1.31","4.85","2.20","10.25"
"Sett","SUPPORT","Weak","36.29","-4.05","45.88","31.15","3.13","4.85","2.06","10.25"
"Shaco","SUPPORT","Good","48.11","0.83","51.98","30.41","2.39","8.01","2.55","10.25"
"Shaco","JUNGLE","Good","48.08","-0.25","48.77","63.28","4.58","8.01","2.78","10.25"
"Shen","TOP","God ","78","-5.99","51.89","80.02","6.95","5.51","2.94","10.25"
"Shyvana","TOP","Bad","33.89","-5.84","48.59","11.34","0.2","0.25","2.04","10.25"
"Shyvana","JUNGLE","Bad","32.89","-12.86","46.41","87.31","1.45","0.22","2.42","10.25"
"Singed","TOP","Weak","36.97","-5.37","48.26","80.8","1.27","0.24","1.85","10.25"
"Sion","TOP","Good","52.87","0.06","52.53","77.47","2.73","0.34","2.04","10.25"
"Sivir","ADC","Weak","36.21","-1.67","47.5","93.88","1.36","0.12","2.44","10.25"
"Skarner","JUNGLE","Good","53.07","-5.16","54.47","84.84","1.2","0.25","3.32","10.25"
"Skarner","TOP","Fair","42.54","0","51.31","11.55","0.14","0.25","2.67","10.25"
"Sona","SUPPORT","Good","50.1","-1.64","53.45","95.41","1.94","0.12","2.88","10.25"
"Soraka","SUPPORT","Fair","46.15","-5.08","49.04","87.6","3.69","0.6","2.54","10.25"
"Swain","SUPPORT","Good","54.88","2","52.91","62.01","3.97","4.82","2.38","10.25"
"Swain","MID","Good","54.3","5.51","56.14","14.01","0.89","5.16","2.66","10.25"
"Swain","ADC","Good","52.85","1.87","55.79","17.06","0.9","5.16","2.88","10.25"
"Sylas","MID","Good","56.64","-4","49.42","62.74","6.04","4.8","2.15","10.25"
"Sylas","TOP","Fair","46.58","-0.55","49.1","30.61","2.82","4.8","1.91","10.25"
"Syndra","MID","Fair","43.49","-3.24","47.81","86.25","3.11","1.06","2.22","10.25"
"Tahm Kench","TOP","Bad","31.12","-7.54","45.32","50.82","0.82","0.39","2.14","10.25"
"Tahm Kench","SUPPORT","Bad","24.06","-3.4","44.4","41.5","0.51","0.37","2.19","10.25"
"Taliyah","JUNGLE","Good","54.29","20.21","51.02","83.89","5.43","4.62","2.68","10.25"
"Talon","MID","Fair","43.41","-4.74","47.87","84.24","3.04","1.23","2.22","10.25"
"Talon","TOP","Weak","39.77","0.29","50.78","10.5","0.34","1.23","2.22","10.25"
"Taric","SUPPORT","Weak","39.47","-5.4","49.91","84.35","1.13","0.23","2.71","10.25"
"Teemo","TOP","Strong","65.89","2.79","51.92","78.31","5.62","7.12","1.80","10.25"
"Teemo","MID","Fair","44.38","-4.21","53.18","10.1","0.75","7.84","1.97","10.25"
"Thresh","SUPPORT","God ","90.97","9.22","50.29","94.97","14.46","5.83","2.70","10.25"
"Tristana","ADC","Good","53.29","2.12","51.5","84.34","8.02","1.92","2.42","10.25"
"Tristana","MID","Fair","44.42","0","52.11","11.74","0.93","1.92","2.24","10.25"
"Trundle","JUNGLE","Bad","35.44","-11.74","47.81","68.47","0.82","0.17","2.66","10.25"
"Trundle","TOP","Bad","31.7","-8.73","47.67","25.44","0.34","0.16","1.86","10.25"
"Tryndamere","TOP","Weak","40.83","-1.94","47.16","75.28","2.59","2.18","1.79","10.25"
"Tryndamere","MID","Weak","39.83","-0.44","51.39","14.41","0.46","2.22","1.96","10.25"
"Tryndamere","JUNGLE","Bad","28.56","0","46.73","11.05","0.45","2.4","1.94","10.25"
"Twisted Fate","MID","Good","48.23","-3.02","49.37","85.73","3.6","0.36","2.27","10.25"
"Twitch","ADC","Good","47.41","7.56","51.75","59.44","3.44","1.75","2.52","10.25"
"Twitch","JUNGLE","Bad","24.95","-3.15","43.88","11.91","0.64","1.82","2.23","10.25"
"Twitch","SUPPORT","Bad","24.21","-6.25","43.6","23.55","1.27","1.75","1.95","10.25"
"Udyr","JUNGLE","Good","50.92","-1.11","52.85","89.96","3.16","1.39","2.62","10.25"
"Urgot","TOP","Good","52.42","-0.98","50.63","83.2","3.45","2.87","1.94","10.25"
"Varus","ADC","Bad","35.55","-4.12","46.87","86.09","2.29","0.17","2.28","10.25"
"Varus","MID","Bad","27.22","0","44.26","10.63","0.26","0.17","2.18","10.25"
"Vayne","ADC","Strong","62.31","4.06","52.65","78.52","12.16","11.96","2.18","10.25"
"Vayne","TOP","Good","50.49","2.1","52.33","16.38","2.44","11.96","1.65","10.25"
"Veigar","MID","Fair","44.9","-0.61","48.95","63.98","2.9","1.06","2.21","10.25"
"Veigar","ADC","Fair","41.11","1.25","51.08","11.4","0.45","1.16","2.42","10.25"
"Veigar","SUPPORT","Bad","27.05","-4.82","45.86","17.27","0.83","1.16","1.94","10.25"
"Vel'Koz","MID","Fair","44.89","-3.33","50.95","35.6","1.2","0.54","2.55","10.25"
"Vel'Koz","SUPPORT","Weak","38.38","-1.1","48.9","56.79","1.98","0.54","2.22","10.25"
"Vi","JUNGLE","Good","50.11","-3.83","51.73","94.01","4.28","0.8","2.38","10.25"
"Viktor","MID","Strong","63.69","-3.5","54.22","84.95","5.16","2.55","2.42","10.25"
"Vladimir","MID","Good","47.49","-2.04","49.65","58.02","2.97","3.97","2.34","10.25"
"Vladimir","TOP","Fair","43.33","1.21","49.05","40.54","2.06","3.97","1.99","10.25"
"Volibear","TOP","Good","53.23","1.37","50.36","57.11","3.51","2.63","2.13","10.25"
"Volibear","JUNGLE","Weak","40","-9.8","48.26","35.72","2.55","2.8","2.53","10.25"
"Warwick","JUNGLE","Fair","46.24","0.86","49.27","81.92","4.66","1.57","2.36","10.25"
"Warwick","TOP","Bad","35.42","1.24","48.41","15.54","0.66","1.57","1.99","10.25"
"Wukong","TOP","Strong","56.8","2.71","52.21","67.55","3.45","1.45","2.22","10.25"
"Wukong","MID","Good","47","-3.55","53.76","11.56","0.55","1.45","2.38","10.25"
"Wukong","JUNGLE","Fair","42.37","-2.05","51.1","20.47","1.01","1.38","2.66","10.25"
"Xayah","ADC","Weak","40.89","1.29","48.86","95.55","3.38","0.27","2.31","10.25"
"Xerath","MID","Good","49.09","-4.66","49.95","38.86","2.23","2","2.98","10.25"
"Xerath","SUPPORT","Good","48.13","1.16","50.53","56.24","3.34","2","2.55","10.25"
"Xin Zhao","JUNGLE","Fair","41.54","-0.37","50.52","82.24","2.14","0.24","2.21","10.25"
"Xin Zhao","TOP","Bad","35.03","3.76","49.86","11.19","0.25","0.28","1.79","10.25"
"Yasuo","MID","God ","82.79","21.04","49.67","63.02","11.16","22.23","1.79","10.25"
"Yasuo","TOP","Good","52.37","9.05","49.43","19.43","3.31","22.23","1.70","10.25"
"Yasuo","ADC","Fair","41.01","7.1","50.16","15.99","2.44","22.23","1.98","10.25"
"Yone","MID","God ","77.34","23.98","50.44","71.29","10.26","16.62","2.00","10.25"
"Yone","TOP","Good","53.07","11.26","50.67","23.31","3.2","16.62","1.82","10.25"
"Yorick","TOP","Weak","39.86","-3.94","49.51","87.64","1.38","0.68","1.84","10.25"
"Yuumi","SUPPORT","God ","68.53","0.48","48.15","96.73","7.8","8.12","4.17","10.25"
"Zac","JUNGLE","Good","48.44","-6.27","49.9","78.39","2.89","1.34","3.36","10.25"
"Zac","TOP","Fair","41.04","-2.99","50.1","11.39","0.37","1.35","2.63","10.25"
"Zed","MID","God ","89.37","9.4","49.21","89.19","10.29","33.61","2.31","10.25"
"Ziggs","MID","Fair","44.38","-0.23","50.79","61.75","1.29","0.18","2.47","10.25"
"Ziggs","ADC","Fair","43.4","-0.02","52.16","22.1","0.38","0.18","2.50","10.25"
"Ziggs","SUPPORT","Bad","28.14","-2.67","47.26","13.25","0.27","0.2","2.02","10.25"
"Zilean","SUPPORT","Good","49.07","1.61","52.4","82.6","2.16","0.49","2.94","10.25"
"Zilean","MID","Good","48.5","-5.9","52.92","13.71","0.34","0.43","3.02","10.25"
"Zoe","MID","Fair","46.77","-3.1","47.87","89.21","3.53","2.19","2.49","10.25"
